frequency_hz,source_0.1_ohm_db,source_1_ohm_db,source_10_ohm_db,source_50_ohm_db
301.2608426355721,-4.0457851600907824e-07,-1.805038940722789e-05,-0.0015806807354647502,-0.03885196372874734
308.84308973694425,-4.2519996651487375e-07,-1.8970419609431907e-05,-0.0016612329635176085,-0.04082297780778202
316.61616970794296,-4.468725003107217e-07,-1.9937343742482512e-05,-0.0017458893463629262,-0.04289349128148768
324.5848855025792,-4.696496867624807e-07,-2.095355198382795e-05,-0.0018348589055005987,-0.0450684759366464
332.75416095743196,-4.935878310341577e-07,-2.2021556332787853e-05,-0.0019283612987325456,-0.047353146710247575
341.12904383406607,-5.187461071652151e-07,-2.3143996818163296e-05,-0.0020266273604792016,-0.049752973035647574
349.71470893802234,-5.451867075414593e-07,-2.4323648038564346e-05,-0.002129899669391906,-0.05227369066161752
358.5164613163094,-5.729749904372849e-07,-2.5563426003634718e-05,-0.0022384331447647676,-0.054921313957965186
367.5397395353709,-6.021796468444859e-07,-2.686639535525142e-05,-0.0023524956730442393,-0.057702148721183115
376.79011904155266,-6.328728730870481e-07,-2.8235776930129193e-05,-0.0024723687660416285,-0.06062280549312269
386.2733156061471,-6.651305386143196e-07,-2.967495573808664e-05,-0.002598348252410912,-0.06369021340523431
395.9951888571454,-6.990323885099946e-07,-3.118748930968991e-05,-0.0027307450040591533,-0.06691163456024123
405.96174589987857,-7.346622170712909e-07,-3.2777116502960783e-05,-0.0028698856992138244,-0.07029467896237986
416.17914502878176,-7.721081088910805e-07,-3.444776673925949e-05,-0.0030161136240347557,-0.07384732000633952
426.65369953257846,-8.114626288306852e-07,-3.6203569721385586e-05,-0.003169789514632171,-0.07757791053397825
437.3918815952362,-8.528230534587869e-07,-3.804886563872401e-05,-0.0033312924415424307,-0.0814951994665272
448.4003262951033,-8.962916323845254e-07,-3.998821588258652e-05,-0.0035010207387821957,-0.08560834901856168
459.6858357046953,-9.419758090888709e-07,-4.202641434504439e-05,-0.0036793929796702365,-0.08992695249815248
471.25538309366686,-9.899885256525377e-07,-4.416849924629323e-05,-0.0038668490017697487,-0.0944610526956994
483.1161172375669,-1.0404484580523539e-06,-4.641976560724201e-05,-0.0040638509833678255,-0.09922116086159781
495.2753668350386,-1.0934803449974536e-06,-4.878577831140453e-05,-0.004270884574068717,-0.1042182762703865
507.740645036191,-1.1492152810854034e-06,-5.127238588243086e-05,-0.004488460082159977,-0.10946390636597204
520.5196540849425,-1.2077910388882127e-06,-5.388573493678799e-05,-0.004717113721544963,-0.11497008747942006
533.6202900782065,-1.2693524190039107e-06,-5.663228536174728e-05,-0.004957408921253329,-0.12074940610703311
547.0506478448582,-1.3340515952865541e-06,-5.9518826295839194e-05,-0.0052099377004871834,-0.12681502073246362
560.8190259474947,-1.4020485063640417e-06,-6.255249289732513e-05,-0.005475322112567832,-0.13318068417200424
574.9339318100812,-1.4735112336554273e-06,-6.57407840048514e-05,-0.0057542157610238065,-0.13986076641741443
589.404086974656,-1.5486164362836576e-06,-6.909158062569286e-05,-0.0060473053914695055,-0.14687027794495938
604.2384324903343,-1.6275497686305218e-06,-7.261316546568937e-05,-0.0063553125629255995,-0.15422489345357257
619.4461344379439,-1.7105063538227176e-06,-7.631424336299698e-05,-0.006678995402432502,-0.161940975988338
635.0365895937097,-1.7976912552893938e-06,-8.020396281372463e-05,-0.0070191504470688134,-0.17003560139849933
651.0194312354844,-1.8893199946075625e-06,-8.429193859526906e-05,-0.007376614577541649,-0.1785265830713856
667.4045350951101,-1.985619077062291e-06,-8.8588275504737e-05,-0.007752267047875664,-0.1874324968753385
684.2020254605904,-2.0868265451725683e-06,-9.310359335617335e-05,-0.00814703161573171,-0.19677270623570792
701.422281431848,-2.1931925881483725e-06,-9.784905320577397e-05,-0.008561878778287233,-0.20656738725833487
719.0759433339284,-2.3049801339900525e-06,-0.00010283638495170304,-0.008997828118686232,-0.2168375538045211
737.1739192916122,-2.422465520662813e-06,-0.000108077916312417,-0.009455950768362326,-0.22760508241059116
755.7273919694981,-2.545939174021758e-06,-0.00011358660329926586,-0.009937371990768917,-0.23889273693335533
774.7478254817272,-2.6757063098454104e-06,-0.0001193760622306789,-0.010443273892259235,-0.25072419279041364
794.2469724756131,-2.8120877149444255e-06,-0.00012546060338057232,-0.010974898266140266,-0.2631240606513902
814.2368813935527,-2.9554205186273755e-06,-0.00013185526634590752,-0.01153354957615595,-0.2761179094223849
834.7299039177072,-3.106059035527175e-06,-0.00013857585721158572,-0.012120598085976063,-0.2897322883519286
855.7387026020574,-3.264375644108064e-06,-0.0001456389876091947,-0.012737483141445584,-0.30399474807204796
877.2762586965447,-3.4307616931385654e-06,-0.00015306211576709625,-0.013385716612743853,-0.3189338603729468
899.3558801681307,-3.6056284959187974e-06,-0.00016086358964742433,-0.014066886503795006,-0.33457923649456134
921.9912099237331,-3.789408311007769e-06,-0.00016906269228389616,-0.014782660736661214,-0.35096154370259847
